CLUSTER,DR2NAME,DR2_NUM,ID,ID_SOURCE,RA,DEC,BP_RP,GMAG,AGE,AV,PLX,DISTANCE,DM,BP_RP_0,M_G,BINARY_SHORT,BINARY_WIDE,PROT,E_PROT,PROT_REF,TEFF,MASS,BENCH
"Hyades","Gaia DR2 3295883999449691264","3295883999449691264","-9999","EPIC",70.37029127094000,12.00928282114000,2.15060,12.0232,730.000,0.00000,21.1740,47.2277,3.37099,2.15060,8.65221,0.00000,0.00000,18.0000,0.00000,"Douglas et al. (2019)",3695.66,0.544716,1
"Hyades","Gaia DR2 3294522907134516864","3294522907134516864","-9999","EPIC",73.09977753462999,10.71938292767000,2.04480,11.9553,730.000,0.00000,19.1856,52.1224,3.58512,2.04480,8.37018,0.00000,0.00000,9.88000,0.00000,"Douglas et al. (2019)",3770.30,0.566557,1
"Hyades","Gaia DR2 3299573475139651584","3299573475139651584","-9999","EPIC",65.96178681082000,9.205392690080000,2.44960,11.8137,730.000,0.00000,22.2758,44.8918,3.26083,2.44960,8.55287,0.00000,0.00000,5.33000,0.00000,"Douglas et al. (2019)",3493.45,0.406570,0
"Hyades","Gaia DR2 3308428877366857728","3308428877366857728","-9999","EPIC",70.36633435476000,14.07602044908000,2.46190,12.3374,730.000,0.00000,20.3210,49.2102,3.46027,2.46190,8.87713,0.00000,0.00000,1.28000,0.00000,"Douglas et al. (2019)",3485.28,0.399912,0
"Hyades","Gaia DR2 3307489031146701696","3307489031146701696","-9999","EPIC",68.36301870809000,13.04538890400000,2.34010,12.2633,730.000,0.00000,23.1778,43.1447,3.17464,2.34010,9.08866,0.00000,0.00000,16.2900,0.00000,"Douglas et al. (2019)",3566.70,0.460018,1
"Hyades","Gaia DR2 3305524242524308352","3305524242524308352","-9999","EPIC",61.64480101187000,13.54905041513000,2.27840,12.4409,730.000,0.00000,20.0360,49.9102,3.49095,2.27840,8.94995,0.00000,0.00000,16.6800,0.00000,"Douglas et al. (2019)",3608.32,0.489405,0
"Hyades","Gaia DR2 40470720915966208","40470720915966208","-9999","EPIC",58.72235328058000,16.31552394857000,2.85110,12.9575,730.000,0.00000,22.7312,43.9924,3.21689,2.85110,9.74061,0.00000,0.00000,6.04000,0.00000,"Douglas et al. (2019)",3245.17,0.234494,0
"Hyades","Gaia DR2 3311906770084019712","3311906770084019712","210470484","EPIC",64.36772711736000,14.90098569966000,2.59590,13.2760,730.000,0.00000,20.1923,49.5238,3.47407,2.59590,9.80193,0.00000,0.00000,2.37880,0.00000,"Douglas et al. (2019)",3397.71,0.328762,1
"Hyades","Gaia DR2 3288018093264886016","3288018093264886016","-9999","EPIC",72.46749767047000,6.109359462890000,2.80180,13.4246,730.000,0.00000,22.9172,43.6353,3.19919,2.80180,10.2254,0.00000,0.00000,17.1200,0.00000,"Douglas et al. (2019)",3272.60,0.249023,1
"Hyades","Gaia DR2 63395989328447232","63395989328447232","210865372","EPIC",55.94682289747000,20.85994697571000,2.69630,13.3366,730.000,0.00000,22.0889,45.2716,3.27913,2.69630,10.0575,0.00000,0.00000,12.3168,0.00000,"Douglas et al. (2019)",3334.83,0.281994,1
